Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details,Pokedex Entry
1,1,"""Bulbasaur""","""Seed Pokémon""",NULL,NULL,NULL,0.7,6.9,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight.""",NULL,NULL,87.5,12.5,50,"""Red""",45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,"""Medium Slow""",1059860,"""Monster""","""Grass""",20,NULL,NULL,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,2,"""Ivysaur""","""Seed Pokémon""",NULL,NULL,NULL,1.0,13.0,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight.""",NULL,NULL,87.5,12.5,50,"""Red""",60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,"""Medium Slow""",1059860,"""Monster""","""Grass""",20,1,"""Level 16""","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,3,"""Venusaur""","""Seed Pokémon""",NULL,NULL,NULL,2.0,100.0,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight.""",NULL,NULL,87.5,12.5,50,"""Red""",80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,"""Medium Slow""",1059860,"""Monster""","""Grass""",20,2,"""Level 32""",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,3,"""Venusaur""","""Seed Pokémon""","""Mega""",3,NULL,2.4,155.5,"""Grass""","""Poison""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.""",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,"""X""",80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,"""Medium Slow""",1059860,"""Monster""","""Grass""",20,NULL,NULL,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
1526,3,"""Venusaur""","""Seed Pokémon""","""Gigantamax""",3,NULL,24.0,0.0,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight.""",NULL,NULL,87.5,12.5,50,"""Sword""",80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,"""Medium Slow""",1059860,"""Monster""","""Grass""",20,NULL,NULL,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
5,4,"""Charmander""","""Lizard Pokémon""",NULL,NULL,NULL,0.6,8.5,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",NULL,NULL,87.5,12.5,50,"""Red""",39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,"""Medium Slow""",1059860,"""Monster""","""Dragon""",20,NULL,NULL,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
6,5,"""Charmeleon""","""Flame Pokémon""",NULL,NULL,NULL,1.1,19.0,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",NULL,NULL,87.5,12.5,50,"""Red""",58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,"""Medium Slow""",1059860,"""Monster""","""Dragon""",20,5,"""Level 16""","When it swings its burning tail, it elevates the temperature to unbearably high levels."
7,6,"""Charizard""","""Flame Pokémon""",NULL,NULL,NULL,1.7,90.5,"""Fire""","""Flying""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",NULL,NULL,87.5,12.5,50,"""Red""",78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,"""Monster""","""Dragon""",20,6,"""Level 36""",Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
8,6,"""Charizard""","""Flame Pokémon""","""Mega X""",7,NULL,1.7,110.5,"""Fire""","""Dragon""","""Tough Claws""","""Powers up moves that make direct contact.""",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,"""X""",78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,"""Monster""","""Dragon""",20,NULL,NULL,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
9,6,"""Charizard""","""Flame Pokémon""","""Mega Y""",7,NULL,1.7,100.5,"""Fire""","""Flying""","""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,"""X""",78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,"""Monster""","""Dragon""",20,NULL,NULL,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
